Data,NUO TI,NUO RIC,NUO DEC,Terapie Intensive,Ricoveri,Decessi,Regione
18-nov,-3,-2,53,3,54,42,Emilia-Romagna
19-nov,0,40,50,2,56,42,Emilia-Romagna
20-nov,0,45,47,3,53,43,Emilia-Romagna
21-nov,-3,60,47,1,50,43,Emilia-Romagna
22-nov,8,72,38,0,54,44,Emilia-Romagna
23-nov,-1,72,34,0,49,45,Emilia-Romagna
24-nov,-5,-15,55,-1,39,46,Emilia-Romagna
25-nov,6,40,54,1,45,46,Emilia-Romagna
26-nov,9,-84,55,2,27,47,Emilia-Romagna
27-nov,-8,-6,65,1,20,50,Emilia-Romagna
28-nov,-5,0,71,1,11,53,Emilia-Romagna
29-nov,0,-5,30,-1,0,52,Emilia-Romagna
30-nov,4,87,39,0,2,53,Emilia-Romagna
1-dic,-2,-26,52,1,1,52,Emilia-Romagna
2-dic,0,-37,69,0,-10,54,Emilia-Romagna
3-dic,-2,-24,85,-2,-2,59,Emilia-Romagna
4-dic,3,49,63,0,6,58,Emilia-Romagna
5-dic,-5,-10,52,0,5,56,Emilia-Romagna
6-dic,-2,29,88,-1,10,64,Emilia-Romagna
7-dic,-2,69,57,-1,7,67,Emilia-Romagna
8-dic,-5,-24,49,-2,7,66,Emilia-Romagna
9-dic,-1,76,46,-2,24,63,Emilia-Romagna
10-dic,-4,-12,72,-2,25,61,Emilia-Romagna
11-dic,2,-33,61,-2,14,61,Emilia-Romagna
12-dic,-9,1,82,-3,15,65,Emilia-Romagna
13-dic,-2,6,43,-3,12,59,Emilia-Romagna
14-dic,2,12,73,-2,4,61,Emilia-Romagna
15-dic,-8,-34,74,-3,2,64,Emilia-Romagna
16-dic,-2,-24,78,-3,-12,69,Emilia-Romagna
17-dic,-6,28,78,-3,-6,70,Emilia-Romagna
18-dic,1,-37,75,-3,-7,72,Emilia-Romagna
19-dic,-1,55,73,-2,1,71,Emilia-Romagna
20-dic,-5,33,59,-3,5,73,Emilia-Romagna
21-dic,2,62,38,-3,12,68,Emilia-Romagna
22-dic,7,-23,68,-1,13,67,Emilia-Romagna
23-dic,-3,-88,71,-1,4,66,Emilia-Romagna
24-dic,-6,-85,76,-1,-12,66,Emilia-Romagna
25-dic,5,-7,65,0,-8,64,Emilia-Romagna
26-dic,8,-81,24,1,-27,57,Emilia-Romagna
27-dic,-4,-21,69,1,-35,59,Emilia-Romagna
28-dic,10,33,31,2,-39,58,Emilia-Romagna
29-dic,1,-44,90,2,-42,61,Emilia-Romagna
30-dic,9,43,69,3,-23,61,Emilia-Romagna
31-dic,3,-12,55,5,-13,58,Emilia-Romagna
1-gen,-2,14,70,4,-10,58,Emilia-Romagna
2-gen,-2,6,38,2,3,60,Emilia-Romagna
3-gen,5,8,41,3,7,56,Emilia-Romagna
4-gen,1,27,54,2,6,60,Emilia-Romagna
5-gen,-3,12,64,2,14,56,Emilia-Romagna
6-gen,4,-31,61,1,3,55,Emilia-Romagna
7-gen,4,36,64,1,10,56,Emilia-Romagna
8-gen,5,-10,80,2,7,57,Emilia-Romagna
9-gen,-5,-12,69,2,4,62,Emilia-Romagna
10-gen,-3,26,58,0,7,64,Emilia-Romagna
11-gen,1,36,66,0,8,66,Emilia-Romagna
12-gen,-1,-11,51,1,5,64,Emilia-Romagna
13-gen,-8,-51,66,-1,2,65,Emilia-Romagna
14-gen,4,-69,70,-1,-13,66,Emilia-Romagna
15-gen,-2,-99,67,-2,-26,64,Emilia-Romagna
16-gen,0,-3,48,-1,-24,61,Emilia-Romagna
17-gen,3,21,41,0,-25,58,Emilia-Romagna
18-gen,4,35,51,0,-25,56,Emilia-Romagna
19-gen,-6,-44,74,-1,-30,60,Emilia-Romagna
20-gen,-2,-30,64,0,-27,59,Emilia-Romagna
21-gen,-12,-34,73,-2,-22,60,Emilia-Romagna
22-gen,2,-54,43,-2,-16,56,Emilia-Romagna
23-gen,-3,-12,33,-2,-17,54,Emilia-Romagna
24-gen,2,-7,35,-2,-21,53,Emilia-Romagna
25-gen,3,39,76,-2,-20,57,Emilia-Romagna
26-gen,-2,-129,74,-2,-32,57,Emilia-Romagna
27-gen,-10,-12,38,-3,-30,53,Emilia-Romagna
28-gen,-1,-39,56,-1,-31,51,Emilia-Romagna
29-gen,0,-70,64,-2,-33,54,Emilia-Romagna
30-gen,-6,-48,27,-2,-38,53,Emilia-Romagna
31-gen,3,-12,22,-2,-39,51,Emilia-Romagna
1-feb,1,69,34,-2,-34,45,Emilia-Romagna
2-feb,-9,-5,71,-3,-17,45,Emilia-Romagna
3-feb,-4,-54,75,-2,-23,50,Emilia-Romagna
4-feb,-6,-76,58,-3,-28,50,Emilia-Romagna
5-feb,-6,-56,54,-4,-26,49,Emilia-Romagna
6-feb,1,-34,44,-3,-24,51,Emilia-Romagna
7-feb,-2,-6,25,-4,-23,52,Emilia-Romagna
8-feb,2,52,32,-3,-26,51,Emilia-Romagna
9-feb,-1,-31,45,-2,-29,48,Emilia-Romagna
10-feb,1,-34,37,-2,-26,42,Emilia-Romagna
11-feb,-5,-34,71,-1,-20,44,Emilia-Romagna
12-feb,-3,-17,27,-1,-15,40,Emilia-Romagna
13-feb,-4,3,36,-2,-10,39,Emilia-Romagna
14-feb,0,22,41,-1,-6,41,Emilia-Romagna
15-feb,1,61,21,-2,-4,40,Emilia-Romagna
16-feb,3,3,35,-1,1,38,Emilia-Romagna
17-feb,1,-73,31,-1,-5,37,Emilia-Romagna
18-feb,5,-12,22,0,-2,30,Emilia-Romagna
19-feb,2,12,46,1,2,33,Emilia-Romagna
20-feb,-7,-3,23,1,1,31,Emilia-Romagna
21-feb,8,40,41,2,4,31,Emilia-Romagna
22-feb,10,78,23,3,6,32,Emilia-Romagna
23-feb,2,26,25,3,10,30,Emilia-Romagna
24-feb,5,-18,33,4,18,30,Emilia-Romagna
25-feb,2,33,33,3,24,32,Emilia-Romagna
26-feb,8,34,30,4,27,30,Emilia-Romagna
27-feb,3,86,32,5,40,31,Emilia-Romagna
28-feb,13,77,22,6,45,28,Emilia-Romagna
1-mar,9,120,23,6,51,28,Emilia-Romagna
2-mar,3,101,44,6,62,31,Emilia-Romagna
3-mar,12,52,40,7,72,32,Emilia-Romagna
4-mar,8,72,25,8,77,31,Emilia-Romagna
5-mar,7,63,46,8,82,33,Emilia-Romagna
6-mar,9,90,25,9,82,32,Emilia-Romagna
7-mar,8,60,31,8,80,33,Emilia-Romagna
8-mar,3,147,50,7,84,37,Emilia-Romagna
9-mar,21,84,44,10,81,37,Emilia-Romagna
10-mar,26,50,43,12,81,38,Emilia-Romagna
11-mar,12,67,45,12,80,41,Emilia-Romagna
12-mar,5,36,35,12,76,39,Emilia-Romagna
13-mar,4,57,31,11,72,40,Emilia-Romagna
14-mar,10,67,51,12,73,43,Emilia-Romagna
15-mar,9,143,61,12,72,44,Emilia-Romagna
16-mar,5,52,47,10,67,45,Emilia-Romagna
17-mar,3,26,52,7,64,46,Emilia-Romagna
18-mar,4,9,65,6,56,49,Emilia-Romagna
19-mar,1,-2,42,5,50,50,Emilia-Romagna
20-mar,15,-30,47,7,38,52,Emilia-Romagna
21-mar,-5,47,34,5,35,50,Emilia-Romagna
22-mar,-6,136,44,2,34,47,Emilia-Romagna
23-mar,5,-43,56,2,20,49,Emilia-Romagna
24-mar,2,-45,45,2,10,48,Emilia-Romagna
25-mar,5,-57,58,2,1,47,Emilia-Romagna
26-mar,-3,-42,46,2,-5,47,Emilia-Romagna
27-mar,1,-48,33,0,-7,45,Emilia-Romagna
28-mar,1,-25,31,1,-18,45,Emilia-Romagna
29-mar,-3,98,55,1,-23,46,Emilia-Romagna
30-mar,-6,-54,67,0,-25,48,Emilia-Romagna
31-mar,-2,-59,58,-1,-27,50,Emilia-Romagna
1-apr,-9,-90,67,-3,-31,51,Emilia-Romagna
2-apr,-10,-38,56,-4,-31,52,Emilia-Romagna
