Data,CASI,VARIAZIONI,1,2,3,4,5,Regione
22-nov,387,0.6,0,100,0,0,0,Emilia-Romagna
23-nov,382,-3.6,0,100,0,0,0,Emilia-Romagna
24-nov,389,-0.8,0,100,0,0,0,Emilia-Romagna
25-nov,383,-1.9,0,100,0,0,0,Emilia-Romagna
26-nov,383,-0.5,0,100,0,0,0,Emilia-Romagna
27-nov,375,-3.5,0,100,0,0,0,Emilia-Romagna
28-nov,363,-7.2,0,100,0,0,0,Emilia-Romagna
29-nov,344,-11.1,0,100,0,0,0,Emilia-Romagna
30-nov,337,-11.8,0,100,0,0,0,Emilia-Romagna
1-dic,314,-19.2,0,100,0,0,0,Emilia-Romagna
2-dic,302,-21.3,0,100,0,0,0,Emilia-Romagna
3-dic,293,-23.7,0,100,0,0,0,Emilia-Romagna
4-dic,292,-22,0,100,0,0,0,Emilia-Romagna
5-dic,288,-20.6,0,100,0,0,0,Emilia-Romagna
6-dic,286,-16.8,0,0,100,0,0,Emilia-Romagna
7-dic,283,-16.2,0,0,100,0,0,Emilia-Romagna
8-dic,286,-8.9,0,0,100,0,0,Emilia-Romagna
9-dic,275,-8.7,0,0,100,0,0,Emilia-Romagna
10-dic,268,-8.3,0,0,100,0,0,Emilia-Romagna
11-dic,247,-15.4,0,0,100,0,0,Emilia-Romagna
12-dic,244,-15.2,0,0,100,0,0,Emilia-Romagna
13-dic,247,-13.6,0,0,100,0,0,Emilia-Romagna
14-dic,240,-15.1,0,0,100,0,0,Emilia-Romagna
15-dic,231,-19.2,0,0,100,0,0,Emilia-Romagna
16-dic,235,-14.7,0,0,100,0,0,Emilia-Romagna
17-dic,240,-10.7,0,0,100,0,0,Emilia-Romagna
18-dic,252,1.8,0,0,100,0,0,Emilia-Romagna
19-dic,248,1.7,0,0,100,0,0,Emilia-Romagna
20-dic,244,-1.4,0,0,100,0,0,Emilia-Romagna
21-dic,244,1.8,0,0,100,0,0,Emilia-Romagna
22-dic,243,4.9,0,0,100,0,0,Emilia-Romagna
23-dic,240,2.2,0,0,100,0,0,Emilia-Romagna
24-dic,241,0.4,100,0,0,0,0,Emilia-Romagna
25-dic,249,-1,100,0,0,0,0,Emilia-Romagna
26-dic,252,1.6,100,0,0,0,0,Emilia-Romagna
27-dic,241,-1,100,0,0,0,0,Emilia-Romagna
28-dic,223,-8.9,0,100,0,0,0,Emilia-Romagna
29-dic,217,-10.8,0,100,0,0,0,Emilia-Romagna
30-dic,223,-7.1,0,100,0,0,0,Emilia-Romagna
31-dic,233,-3.3,100,0,0,0,0,Emilia-Romagna
1-gen,244,-2.1,100,0,0,0,0,Emilia-Romagna
2-gen,250,-0.7,100,0,0,0,0,Emilia-Romagna
3-gen,262,8.6,100,0,0,0,0,Emilia-Romagna
